haushalt;haushalt_beschreibung;haushaltstelle;einzelplan;unterabschnitt;haushaltkonto;jahr;wert;soll_ist;einnahme_ausgabe;vermerke;fb;haushaltstelle_beschreibung;haushaltstelle_beschreibung_detail;einzelplan_beschreibung;unterabschnitt_beschreibung;seite
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0003.9040";"0";"0003";"9040";2015;0;"Soll";"Ausgabe";"MaßN.=5903, ZueD-Me=6903";"030";"Zuführung zum Verwaltungshaus- halt aus Budgetrücklage bzgl. Budget '0300000' Gesamtbedarf 0 bish. Mittel 0";"";"Allgemeine Verwaltung";"Gemeinde-, Kreis- und Bezirksorgane Direktorium 3";"1091"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0003.9140";"0";"0003";"9140";2015;0;"Soll";"Ausgabe";"MaßN.=5903, ZueD-Me=6903";"030";"Zuführung an Budgetrücklage bzgl. Budget '0300000' Gesamtbedarf 0 bish. Mittel 0";"";"Allgemeine Verwaltung";"Gemeinde-, Kreis- und Bezirksorgane Direktorium 3";"1091"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0003.9350";"0";"0003";"9350";2015;750;"Soll";"Ausgabe";"";"030";"Erwerb von beweglichen Sachen des Anlagevermögens";"";"Allgemeine Verwaltung";"Gemeinde-, Kreis- und Bezirksorgane Direktorium 3";"1091"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0003.9351";"0";"0003";"9351";2015;2000;"Soll";"Ausgabe";"";"030";"Zimmerausstattungen";"";"Allgemeine Verwaltung";"Gemeinde-, Kreis- und Bezirksorgane Direktorium 3";"1091"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0003.9361";"0";"0003";"9361";2015;1000;"Soll";"Ausgabe";"";"030";"Zimmerausstattungen -Ersatzbeschaffung-";"";"Allgemeine Verwaltung";"Gemeinde-, Kreis- und Bezirksorgane Direktorium 3";"1091"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0003.9390";"0";"0003";"9390";2015;0;"Soll";"Ausgabe";"EinR.=9170, gegsD=9390";"9170";"Erwerb von beweglichen Sachen des Anlagevermögens EDV-Ausstattung -vgl. HhSt. 1.0601.9390-";"";"Allgemeine Verwaltung";"Gemeinde-, Kreis- und Bezirksorgane Direktorium 3";"1091"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0007.9351";"0";"0007";"9351";2015;1500;"Soll";"Ausgabe";"gegsD=63";"011";"Zimmerausstattungen";"";"Allgemeine Verwaltung";"Fraktionen";"1092"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0007.9352";"0";"0007";"9352";2015;500;"Soll";"Ausgabe";"gegsD=63";"011";"Arbeitsgeräte und Maschinen";"";"Allgemeine Verwaltung";"Fraktionen";"1092"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0007.9361";"0";"0007";"9361";2015;1000;"Soll";"Ausgabe";"gegsD=63";"011";"Zimmerausstattungen -Ersatzbeschaffung-";"";"Allgemeine Verwaltung";"Fraktionen";"1092"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0007.9362";"0";"0007";"9362";2015;500;"Soll";"Ausgabe";"gegsD=63";"011";"Arbeitsgeräte und Maschinen -Ersatzbeschaffung-";"";"Allgemeine Verwaltung";"Fraktionen";"1092"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0100.3040";"0";"0100";"3040";2015;0;"Soll";"Einnahme";"MaßN.=5912, ZueD-Me=6912";"120";"Zuführung vom Verwaltungshaus- halt für Budgetrücklage bzgl. Budget '0101200'";"";"Allgemeine Verwaltung";"Rechnungsprüfung";"1093"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0100.3140";"0";"0100";"3140";2015;0;"Soll";"Einnahme";"MaßN.=5912, ZueD-Me=6912";"120";"Entnahme aus Budgetrücklage bzgl. Budget '0101200'";"";"Allgemeine Verwaltung";"Rechnungsprüfung";"1093"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0100.9040";"0";"0100";"9040";2015;0;"Soll";"Ausgabe";"MaßN.=5912, ZueD-Me=6912";"120";"Zuführung zum Verwaltungshaus- halt aus Budgetrücklage bzgl. Budget '0101200' Gesamtbedarf 0 bish. Mittel 0";"";"Allgemeine Verwaltung";"Rechnungsprüfung";"1093"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0100.9140";"0";"0100";"9140";2015;0;"Soll";"Ausgabe";"MaßN.=5912, ZueD-Me=6912";"120";"Zuführung an Budgetrücklage bzgl. Budget '0101200' Gesamtbedarf 0 bish. Mittel 0";"";"Allgemeine Verwaltung";"Rechnungsprüfung";"1093"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0100.9351";"0";"0100";"9351";2015;0;"Soll";"Ausgabe";"";"120";"Zimmerausstattungen";"";"Allgemeine Verwaltung";"Rechnungsprüfung";"1093"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0100.9361";"0";"0100";"9361";2015;1500;"Soll";"Ausgabe";"";"120";"Zimmerausstattungen -Ersatzbeschaffung-";"";"Allgemeine Verwaltung";"Rechnungsprüfung";"1093"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0100.9390";"0";"0100";"9390";2015;0;"Soll";"Ausgabe";"EinR.=9170, gegsD=9390";"9170";"Erwerb von beweglichen Sachen des Anlagevermögens EDV-Ausstattung -vgl. HhSt. 1.0601.9390-";"";"Allgemeine Verwaltung";"Rechnungsprüfung";"1093"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0201.3040";"0";"0201";"3040";2015;0;"Soll";"Einnahme";"MaßN.=5998, ZueD-Me=6998";"011";"Zuführung vom Verwaltungshaus- halt für Budgetrücklage bzgl. Budget '0110000'";"";"Allgemeine Verwaltung";"SK - Rat und Repräsentation";"1094"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0201.3140";"0";"0201";"3140";2015;0;"Soll";"Einnahme";"MaßN.=5998, ZueD-Me=6998";"011";"Entnahme aus Budgetrücklage bzgl. Budget '0110000'";"";"Allgemeine Verwaltung";"SK - Rat und Repräsentation";"1094"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0201.3452";"0";"0201";"3452";2015;0;"Soll";"Einnahme";"";"011";"Verkauf von Maschinen, Geräten u.ä.";"";"Allgemeine Verwaltung";"SK - Rat und Repräsentation";"1094"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0201.3650";"0";"0201";"3650";2015;0;"Soll";"Einnahme";"";"011";"Investitionszuschüsse von kommunalen Sonderrechnungen";"";"Allgemeine Verwaltung";"SK - Rat und Repräsentation";"1094"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0201.9040";"0";"0201";"9040";2015;0;"Soll";"Ausgabe";"MaßN.=5998, ZueD-Me=6998";"011";"Zuführung zum Verwaltungshaus- halt aus Budgetrücklage bzgl. Budget '0110000' Gesamtbedarf 0 bish. Mittel 0";"";"Allgemeine Verwaltung";"SK - Rat und Repräsentation";"1094"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0201.9140";"0";"0201";"9140";2015;0;"Soll";"Ausgabe";"MaßN.=5998, ZueD-Me=6998";"011";"Zuführung an Budgetrücklage bzgl. Budget '0110000' Gesamtbedarf 0 bish. Mittel 0";"";"Allgemeine Verwaltung";"SK - Rat und Repräsentation";"1094"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0201.9351";"0";"0201";"9351";2015;0;"Soll";"Ausgabe";"";"011";"Zimmerausstattungen";"";"Allgemeine Verwaltung";"SK - Rat und Repräsentation";"1094"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0201.9352";"0";"0201";"9352";2015;500;"Soll";"Ausgabe";"";"011";"Arbeitsgeräte und Maschinen";"";"Allgemeine Verwaltung";"SK - Rat und Repräsentation";"1094"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0201.9359";"0";"0201";"9359";2015;0;"Soll";"Ausgabe";"";"011";"Erwerb von sonst. beweglichen Sachen des Anlagevermögens";"";"Allgemeine Verwaltung";"SK - Rat und Repräsentation";"1094"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0201.9361";"0";"0201";"9361";2015;0;"Soll";"Ausgabe";"";"011";"Zimmerausstattungen -Ersatzbeschaffung-";"";"Allgemeine Verwaltung";"SK - Rat und Repräsentation";"1094"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0201.9362";"0";"0201";"9362";2015;0;"Soll";"Ausgabe";"";"011";"Arbeitsgeräte und Maschinen -Ersatzbeschaffung-";"";"Allgemeine Verwaltung";"SK - Rat und Repräsentation";"1094"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0201.9389";"0";"0201";"9389";2015;0;"Soll";"Ausgabe";"";"011";"Erwerb von sonst. beweglichen Sachen des Anlagevermögens";"";"Allgemeine Verwaltung";"SK - Rat und Repräsentation";"1094"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0201.9390";"0";"0201";"9390";2015;0;"Soll";"Ausgabe";"EinR.=9170, gegsD=9390";"9170";"Erwerb von beweglichen Sachen des Anlagevermögens EDV-Ausstattung -vgl. HhSt. 1.0601.9390-";"";"Allgemeine Verwaltung";"SK - Rat und Repräsentation";"1094"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0201.9450";"0";"0201";"9450";2015;0;"Soll";"Ausgabe";"";"011";"Erweiterungs-, Um- und Ausbauten";"";"Allgemeine Verwaltung";"SK - Rat und Repräsentation";"1094"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0201.96311";"0";"0201";"96311";2015;0;"Soll";"Ausgabe";"";"232";"Betriebstechnische Anlagen";"";"Allgemeine Verwaltung";"SK - Rat und Repräsentation";"1094"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0202.3040";"0";"0202";"3040";2015;0;"Soll";"Einnahme";"MaßN.=5998, ZueD-Me=6998";"011";"Zuführung vom Verwaltungshaus- halt für Budgetrücklage bzgl. Budget '0110000'";"";"Allgemeine Verwaltung";"SK -Steuerung und Koordination (SK 5 - 7)";"1095"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0202.3140";"0";"0202";"3140";2015;0;"Soll";"Einnahme";"MaßN.=5998, ZueD-Me=6998";"011";"Entnahme aus Budgetrücklage bzgl. Budget '0110000'";"";"Allgemeine Verwaltung";"SK -Steuerung und Koordination (SK 5 - 7)";"1095"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0202.3452";"0";"0202";"3452";2015;0;"Soll";"Einnahme";"";"011";"Verkauf von Maschinen, Geräten u.ä.";"";"Allgemeine Verwaltung";"SK -Steuerung und Koordination (SK 5 - 7)";"1095"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0202.3650";"0";"0202";"3650";2015;0;"Soll";"Einnahme";"";"011";"Investitionszuschüsse von kommunalen Sonderrechnungen";"";"Allgemeine Verwaltung";"SK -Steuerung und Koordination (SK 5 - 7)";"1095"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0202.9040";"0";"0202";"9040";2015;0;"Soll";"Ausgabe";"MaßN.=5998, ZueD-Me=6998";"011";"Zuführung zum Verwaltungshaus- halt aus Budgetrücklage bzgl. Budget '0110000' Gesamtbedarf 0 bish. Mittel 0";"";"Allgemeine Verwaltung";"SK -Steuerung und Koordination (SK 5 - 7)";"1095"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0202.9140";"0";"0202";"9140";2015;0;"Soll";"Ausgabe";"MaßN.=5998, ZueD-Me=6998";"011";"Zuführung an Budgetrücklage bzgl. Budget '0110000' Gesamtbedarf 0 bish. Mittel 0";"";"Allgemeine Verwaltung";"SK -Steuerung und Koordination (SK 5 - 7)";"1095"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0202.9351";"0";"0202";"9351";2015;4000;"Soll";"Ausgabe";"";"011";"Zimmerausstattungen";"";"Allgemeine Verwaltung";"SK -Steuerung und Koordination (SK 5 - 7)";"1095"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0202.93510";"0";"0202";"93510";2015;5000;"Soll";"Ausgabe";"";"011";"Zimmerausstattungen ";"Büroausstattung Referat I";"Allgemeine Verwaltung";"SK -Steuerung und Koordination (SK 5 - 7)";"1095"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0202.9352";"0";"0202";"9352";2015;10700;"Soll";"Ausgabe";"";"011";"Arbeitsgeräte und Maschinen";"";"Allgemeine Verwaltung";"SK -Steuerung und Koordination (SK 5 - 7)";"1095"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0202.9361";"0";"0202";"9361";2015;1200;"Soll";"Ausgabe";"";"011";"Zimmerausstattungen -Ersatzbeschaffung-";"";"Allgemeine Verwaltung";"SK -Steuerung und Koordination (SK 5 - 7)";"1095"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0202.9362";"0";"0202";"9362";2015;400;"Soll";"Ausgabe";"";"011";"Arbeitsgeräte und Maschinen -Ersatzbeschaffung-";"";"Allgemeine Verwaltung";"SK -Steuerung und Koordination (SK 5 - 7)";"1095"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0202.9390";"0";"0202";"9390";2015;0;"Soll";"Ausgabe";"EinR.=9170, gegsD=9390";"9170";"Erwerb von beweglichen Sachen des Anlagevermögens EDV-Ausstattung -vgl. HhSt. 1.0601.9390-";"";"Allgemeine Verwaltung";"SK -Steuerung und Koordination (SK 5 - 7)";"1095"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0202.9450";"0";"0202";"9450";2015;0;"Soll";"Ausgabe";"";"011";"Erweiterungs-, Um- und Ausbauten";"";"Allgemeine Verwaltung";"SK -Steuerung und Koordination (SK 5 - 7)";"1095"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0208.3040";"0";"0208";"3040";2015;0;"Soll";"Einnahme";"MaßN.=5918, ZueD-Me=6918";"180";"Zuführung vom Verwaltungshaus- halt für Budgetrücklage bzgl. Budget '0021800'";"";"Allgemeine Verwaltung";"Hauptverwaltung Zentraler Verwaltungsservice";"1096"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0208.3140";"0";"0208";"3140";2015;0;"Soll";"Einnahme";"MaßN.=5918, ZueD-Me=6918";"180";"Entnahme aus Budgetrücklage bzgl. Budget '0021800'";"";"Allgemeine Verwaltung";"Hauptverwaltung Zentraler Verwaltungsservice";"1096"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0208.3452";"0";"0208";"3452";2015;0;"Soll";"Einnahme";"";"180";"Verkauf von Maschinen, Geräten u.ä.";"";"Allgemeine Verwaltung";"Hauptverwaltung Zentraler Verwaltungsservice";"1096"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0208.9040";"0";"0208";"9040";2015;0;"Soll";"Ausgabe";"MaßN.=5918, ZueD-Me=6918";"180";"Zuführung zum Verwaltungshaus- halt aus Budgetrücklage bzgl. Budget '0021800' Gesamtbedarf 0 bish. Mittel 0";"";"Allgemeine Verwaltung";"Hauptverwaltung Zentraler Verwaltungsservice";"1096"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0208.9140";"0";"0208";"9140";2015;0;"Soll";"Ausgabe";"MaßN.=5918, ZueD-Me=6918";"180";"Zuführung an Budgetrücklage bzgl. Budget '0021800' Gesamtbedarf 0 bish. Mittel 0";"";"Allgemeine Verwaltung";"Hauptverwaltung Zentraler Verwaltungsservice";"1096"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0208.9351";"0";"0208";"9351";2015;2000;"Soll";"Ausgabe";"";"180";"Zimmerausstattungen";"";"Allgemeine Verwaltung";"Hauptverwaltung Zentraler Verwaltungsservice";"1096"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0208.9352";"0";"0208";"9352";2015;1000;"Soll";"Ausgabe";"";"180";"Arbeitsgeräte und Maschinen";"";"Allgemeine Verwaltung";"Hauptverwaltung Zentraler Verwaltungsservice";"1096"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0208.9361";"0";"0208";"9361";2015;2800;"Soll";"Ausgabe";"";"180";"Zimmerausstattungen -Ersatzbeschaffung- ";"";"Allgemeine Verwaltung";"Hauptverwaltung Zentraler Verwaltungsservice";"1096"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0208.9362";"0";"0208";"9362";2015;0;"Soll";"Ausgabe";"";"180";"Arbeitsgeräte und Maschinen -Ersatzbeschaffung-";"";"Allgemeine Verwaltung";"Hauptverwaltung Zentraler Verwaltungsservice";"1096"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0208.9390";"0";"0208";"9390";2015;0;"Soll";"Ausgabe";"EinR.=9170, gegsD=9390";"9170";"Erwerb von beweglichen Sachen des Anlagevermögens EDV-Ausstattung -vgl. HhSt. 1.0601.9390-";"";"Allgemeine Verwaltung";"Hauptverwaltung Zentraler Verwaltungsservice";"1096"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0221.3040";"0";"0221";"3040";2015;0;"Soll";"Einnahme";"MaßN.=5918, ZueD-Me=6918";"180";"Zuführung vom Verwaltungshaus- halt für Budgetrücklage bzgl. Budget '0021800'";"";"Allgemeine Verwaltung";"Personalverwaltung Zentraler Verwaltungsservice";"1097"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0221.3140";"0";"0221";"3140";2015;0;"Soll";"Einnahme";"MaßN.=5918, ZueD-Me=6918";"180";"Entnahme aus Budgetrücklage bzgl. Budget '0021800'";"";"Allgemeine Verwaltung";"Personalverwaltung Zentraler Verwaltungsservice";"1097"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0221.3650";"0";"0221";"3650";2015;0;"Soll";"Einnahme";"";"180";"Investitionszuschüsse von kommunalen Sonderrechnungen";"";"Allgemeine Verwaltung";"Personalverwaltung Zentraler Verwaltungsservice";"1097"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0221.9040";"0";"0221";"9040";2015;0;"Soll";"Ausgabe";"MaßN.=5918, ZueD-Me=6918";"180";"Zuführung zum Verwaltungshaus- halt aus Budgetrücklage bzgl. Budget '0021800' Gesamtbedarf 0 bish. Mittel 0";"";"Allgemeine Verwaltung";"Personalverwaltung Zentraler Verwaltungsservice";"1097"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0221.9140";"0";"0221";"9140";2015;0;"Soll";"Ausgabe";"MaßN.=5918, ZueD-Me=6918";"180";"Zuführung an Budgetrücklage bzgl. Budget '0021800' Gesamtbedarf 0 bish. Mittel 0";"";"Allgemeine Verwaltung";"Personalverwaltung Zentraler Verwaltungsservice";"1097"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0221.9351";"0";"0221";"9351";2015;1000;"Soll";"Ausgabe";"";"180";"Zimmerausstattungen";"";"Allgemeine Verwaltung";"Personalverwaltung Zentraler Verwaltungsservice";"1097"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0221.9352";"0";"0221";"9352";2015;0;"Soll";"Ausgabe";"";"180";"Arbeitsgeräte und Maschinen";"";"Allgemeine Verwaltung";"Personalverwaltung Zentraler Verwaltungsservice";"1097"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0221.9359";"0";"0221";"9359";2015;0;"Soll";"Ausgabe";"";"180";"Erwerb von sonst. beweglichen Sachen des Anlagevermögens";"";"Allgemeine Verwaltung";"Personalverwaltung Zentraler Verwaltungsservice";"1097"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0221.9361";"0";"0221";"9361";2015;0;"Soll";"Ausgabe";"";"180";"Zimmerausstattungen -Ersatzbeschaffung-";"";"Allgemeine Verwaltung";"Personalverwaltung Zentraler Verwaltungsservice";"1097"
